"Date","Price","Open","High","Low","Vol.","Change %"
"Jul 02, 2014","472.5","467.4","478.1","463.5","0.99K","1.09%"
"Jul 03, 2014","467.9","472.5","473.2","463.3","0.61K","-0.97%"
"Jul 04, 2014","463.2","467.9","471.3","457.3","1.05K","-1.01%"
"Jul 05, 2014","462.0","463.2","465.0","460.3","0.32K","-0.26%"
"Jul 06, 2014","465.4","462.0","468.8","460.9","0.36K","0.75%"
"Jul 07, 2014","457.9","465.4","466.7","451.1","1.17K","-1.61%"
"Jul 08, 2014","457.6","457.9","467.7","436.1","0.61K","-0.07%"
"Jul 09, 2014","457.5","457.6","460.4","455.2","0.51K","-0.02%"
"Jul 10, 2014","452.0","457.5","458.7","445.4","0.91K","-1.20%"
"Jul 11, 2014","463.2","452.0","465.3","451.1","0.84K","2.49%"
"Jul 12, 2014","467.0","463.2","469.0","462.9","0.32K","0.82%"
"Jul 13, 2014","461.7","467.0","468.5","460.8","0.39K","-1.14%"
"Jul 14, 2014","454.3","461.7","463.9","454.0","0.61K","-1.60%"
"Jul 15, 2014","458.1","454.3","460.0","454.1","0.55K","0.84%"
"Jul 16, 2014","456.4","458.1","459.5","454.0","0.59K","-0.37%"
"Jul 17, 2014","460.0","456.4","464.7","451.7","0.97K","0.78%"
"Jul 18, 2014","462.9","460.0","464.3","457.1","0.64K","0.62%"
"Jul 19, 2014","462.1","462.9","464.5","459.9","0.32K","-0.17%"
"Jul 20, 2014","458.5","462.1","462.4","457.5","0.30K","-0.76%"
"Jul 21, 2014","456.4","458.5","460.0","455.7","0.47K","-0.47%"
"Jul 22, 2014","460.6","456.4","462.0","456.1","0.45K","0.92%"
"Jul 23, 2014","459.4","460.6","462.7","458.9","0.47K","-0.25%"
"Jul 24, 2014","448.2","459.4","460.5","440.3","1.57K","-2.44%"
"Jul 25, 2014","449.5","448.2","453.7","442.9","0.64K","0.28%"
"Jul 26, 2014","445.8","449.5","452.2","444.3","0.44K","-0.82%"
"Jul 27, 2014","443.8","445.8","449.0","442.4","0.24K","-0.46%"
"Jul 28, 2014","439.1","443.8","446.5","426.2","1.21K","-1.05%"
"Jul 29, 2014","436.8","439.1","442.7","434.7","0.71K","-0.52%"
"Jul 30, 2014","421.2","436.8","437.4","420.2","1.19K","-3.58%"
"Jul 31, 2014","436.3","421.2","440.2","418.4","1.28K","3.58%"
"Aug 01, 2014","445.5","436.3","453.6","434.1","1.36K","2.11%"
"Aug 02, 2014","440.6","445.5","447.2","437.9","0.44K","-1.09%"
"Aug 03, 2014","436.3","440.6","440.8","433.1","0.54K","-0.99%"
"Aug 04, 2014","437.9","436.3","443.8","434.3","0.76K","0.38%"
"Aug 05, 2014","435.4","437.9","440.5","433.0","0.82K","-0.58%"
"Aug 06, 2014","434.2","435.4","439.1","433.1","0.77K","-0.26%"
"Aug 07, 2014","439.1","434.2","443.3","434.1","0.65K","1.11%"
"Aug 08, 2014","440.9","439.1","446.0","436.9","0.78K","0.43%"
"Aug 09, 2014","438.7","440.9","442.0","437.4","0.27K","-0.50%"
"Aug 10, 2014","438.4","438.7","443.2","437.3","0.38K","-0.07%"
"Aug 11, 2014","430.7","438.4","441.8","426.6","0.83K","-1.77%"
"Aug 12, 2014","428.3","430.7","434.4","425.0","0.85K","-0.55%"
"Aug 13, 2014","411.1","428.3","430.2","395.3","2.21K","-4.01%"
"Aug 14, 2014","382.6","411.1","411.9","371.7","2.25K","-6.93%"
"Aug 15, 2014","376.9","382.6","393.1","373.8","1.27K","-1.50%"
"Aug 16, 2014","396.3","376.9","399.2","370.0","1.24K","5.14%"
"Aug 17, 2014","376.4","396.3","399.0","372.0","0.92K","-5.01%"
"Aug 18, 2014","351.6","376.4","383.9","337.7","2.95K","-6.58%"
